                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6926,                 3.7626,                 4.0271,                0.00536,                0.69481,                0.01034,                0.00379,                 2.8084,                  4.148,                  3.987,               0.070298,              0.0032978,              0.0032978
                     35,                 3.0849,                 3.8798,                 4.0263,                0.00495,                 0.6039,                0.08024,                0.01099,                 2.7822,                 4.1375,                 3.9771,               0.069398,              0.0033976,              0.0033976
                     36,                 3.0667,                 3.8234,                 4.0219,                0.00495,                 0.6039,                0.08024,                0.01099,                 2.7822,                 4.1375,                 3.9771,               0.068497,              0.0034974,              0.0034974
                     37,                 2.9464,                 3.8755,                 4.0252,                0.00536,                0.69481,                0.01158,                0.00378,                 2.7593,                 4.1255,                 3.9677,               0.067597,              0.0035972,              0.0035972
                     38,                 3.1023,                 3.8328,                 3.9914,                0.00536,                0.69481,                0.01158,                0.00378,                 2.7593,                 4.1255,                 3.9677,               0.066697,              0.0036969,              0.0036969
                     39,                 3.0681,                 3.8238,                  4.043,                0.00481,                 0.6039,                0.00845,                0.00352,                 2.7429,                 4.1052,                 3.9591,               0.065797,              0.0037967,              0.0037967
                     40,                 2.9888,                 3.8197,                 3.9968,                0.00481,                 0.6039,                0.00845,                0.00352,                 2.7429,                 4.1052,                 3.9591,               0.064896,              0.0038964,              0.0038964
                     41,                 2.9982,                 3.9489,                 4.0186,                 0.0048,                 0.6039,                 0.0118,                0.00393,                 2.7183,                 4.0979,                 3.9508,               0.063996,              0.0039961,              0.0039961
                     42,                 2.9477,                 3.8143,                 3.9772,                 0.0048,                 0.6039,                 0.0118,                0.00393,                 2.7183,                 4.0979,                 3.9508,               0.063096,              0.0040958,              0.0040958
                     43,                   3.02,                 3.7365,                 3.9911,                0.00521,                0.69481,                 0.0092,                 0.0035,                 2.6984,                 4.0916,                 3.9406,               0.062195,              0.0041955,              0.0041955
                     44,                 3.2129,                 3.8897,                 3.9771,                0.00521,                0.69481,                 0.0092,                 0.0035,                 2.6984,                 4.0916,                 3.9406,               0.061295,              0.0042951,              0.0042951
                     45,                 2.8766,                 3.7633,                 3.9823,                0.00479,                 0.6039,                0.01523,                0.00576,                 2.6754,                 4.0835,                 3.9327,               0.060395,              0.0043948,              0.0043948
                     46,                 3.2851,                 3.7947,                 3.9853,                0.00479,                 0.6039,                0.01523,                0.00576,                 2.6754,                 4.0835,                 3.9327,               0.059494,              0.0044944,              0.0044944
