                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    504,                 2.0835,                 2.4121,                 2.6302,                0.67507,                0.13636,                0.19616,                0.09142,                 2.0559,                  4.605,                  2.612,              0.0085392,              0.0085392,              0.0085392
                    505,                 2.2995,                 2.6317,                   2.79,                0.67507,                0.13636,                0.19616,                0.09142,                 2.0559,                  4.605,                  2.612,              0.0085336,              0.0085336,              0.0085336
                    506,                 2.0662,                 2.5069,                 2.5976,                0.67507,                0.13636,                0.19616,                0.09142,                 2.0559,                  4.605,                  2.612,              0.0085281,              0.0085281,              0.0085281
                    507,                 2.2074,                 2.7458,                  2.762,                0.67507,                0.13636,                0.19616,                0.09142,                 2.0559,                  4.605,                  2.612,              0.0085226,              0.0085226,              0.0085226
                    508,                 2.0316,                 2.6552,                 2.7002,                0.62416,                0.22727,                0.11784,                0.05649,                 2.1336,                 3.3971,                 2.7051,               0.008517,               0.008517,               0.008517
                    509,                 1.8286,                 2.2325,                 2.5382,                0.62416,                0.22727,                0.11784,                0.05649,                 2.1336,                 3.3971,                 2.7051,              0.0085115,              0.0085115,              0.0085115
                    510,                 1.9266,                 2.3339,                 2.5723,                0.62416,                0.22727,                0.11784,                0.05649,                 2.1336,                 3.3971,                 2.7051,              0.0085059,              0.0085059,              0.0085059
                    511,                 2.1816,                 2.7215,                  2.867,                0.62416,                0.22727,                0.11784,                0.05649,                 2.1336,                 3.3971,                 2.7051,              0.0085003,              0.0085003,              0.0085003
                    512,                 2.0425,                 2.4236,                 2.5944,                0.05906,                0.13636,                0.07088,                0.03245,                 2.2679,                 3.6961,                 3.1448,              0.0084948,              0.0084948,              0.0084948
                    513,                 2.1571,                  2.666,                 2.8193,                0.05906,                0.13636,                0.07088,                0.03245,                 2.2679,                 3.6961,                 3.1448,              0.0084892,              0.0084892,              0.0084892
                    514,                 1.9253,                 2.2218,                 2.6137,                0.05906,                0.13636,                0.07088,                0.03245,                 2.2679,                 3.6961,                 3.1448,              0.0084836,              0.0084836,              0.0084836
                    515,                 2.0244,                 2.4099,                 2.6116,                0.05906,                0.13636,                0.07088,                0.03245,                 2.2679,                 3.6961,                 3.1448,               0.008478,               0.008478,               0.008478
                    516,                 2.2104,                 2.5332,                 2.6726,                0.11787,                0.04545,                0.05285,                0.02246,                 2.7793,                 4.0832,                 3.6295,              0.0084724,              0.0084724,              0.0084724
                    517,                  2.214,                 2.6136,                 2.7381,                0.11787,                0.04545,                0.05285,                0.02246,                 2.7793,                 4.0832,                 3.6295,              0.0084667,              0.0084667,              0.0084667
                    518,                 2.2692,                 2.8467,                 2.7452,                0.11787,                0.04545,                0.05285,                0.02246,                 2.7793,                 4.0832,                 3.6295,              0.0084611,              0.0084611,              0.0084611
                    519,                 2.2441,                 2.3917,                 2.7786,                0.11787,                0.04545,                0.05285,                0.02246,                 2.7793,                 4.0832,                 3.6295,              0.0084555,              0.0084555,              0.0084555
                    520,                 2.1338,                 2.3541,                 2.7153,                0.22669,                0.04545,                0.06667,                0.03606,                 2.6391,                 4.1235,                  3.556,              0.0084498,              0.0084498,              0.0084498
                    521,                 2.0705,                 2.4491,                 2.5729,                0.22669,                0.04545,                0.06667,                0.03606,                 2.6391,                 4.1235,                  3.556,              0.0084442,              0.0084442,              0.0084442
                    522,                 2.2069,                 3.0359,                 2.8058,                0.22669,                0.04545,                0.06667,                0.03606,                 2.6391,                 4.1235,                  3.556,              0.0084385,              0.0084385,              0.0084385
                    523,                 2.3709,                 2.6785,                 2.8331,                0.22669,                0.04545,                0.06667,                0.03606,                 2.6391,                 4.1235,                  3.556,              0.0084328,              0.0084328,              0.0084328
                    524,                 2.0559,                 2.4147,                 2.6248,                 0.3267,                0.08729,                0.09986,                0.05776,                 2.3458,                 3.9481,                 3.2742,              0.0084272,              0.0084272,              0.0084272
                    525,                 2.1552,                 2.5513,                 2.6447,                 0.3267,                0.08729,                0.09986,                0.05776,                 2.3458,                 3.9481,                 3.2742,              0.0084215,              0.0084215,              0.0084215
                    526,                 1.9848,                 2.7136,                 2.6164,                 0.3267,                0.08729,                0.09986,                0.05776,                 2.3458,                 3.9481,                 3.2742,              0.0084158,              0.0084158,              0.0084158
                    527,                 1.9704,                 2.4841,                 2.7247,                 0.3267,                0.08729,                0.09986,                0.05776,                 2.3458,                 3.9481,                 3.2742,              0.0084101,              0.0084101,              0.0084101
                    528,                 2.0793,                  2.603,                 2.6377,                0.11661,                0.13636,                0.09809,                0.04054,                 2.3048,                 3.4268,                 2.9301,              0.0084043,              0.0084043,              0.0084043
                    529,                  2.128,                 2.3906,                 2.7055,                0.11661,                0.13636,                0.09809,                0.04054,                 2.3048,                 3.4268,                 2.9301,              0.0083986,              0.0083986,              0.0083986
                    530,                 2.0539,                 2.5347,                 2.6349,                0.11661,                0.13636,                0.09809,                0.04054,                 2.3048,                 3.4268,                 2.9301,              0.0083929,              0.0083929,              0.0083929
                    531,                 2.1454,                 2.7251,                 2.6499,                0.11661,                0.13636,                0.09809,                0.04054,                 2.3048,                 3.4268,                 2.9301,              0.0083872,              0.0083872,              0.0083872
                    532,                 2.0936,                 2.7288,                 2.6788,                0.09853,                0.25325,                0.09389,                0.04616,                 2.3233,                 3.6104,                 2.7268,              0.0083814,              0.0083814,              0.0083814
                    533,                 2.2621,                  2.758,                 2.8147,                0.09853,                0.25325,                0.09389,                0.04616,                 2.3233,                 3.6104,                 2.7268,              0.0083757,              0.0083757,              0.0083757
                    534,                 2.1111,                 2.5628,                 2.5631,                0.09853,                0.25325,                0.09389,                0.04616,                 2.3233,                 3.6104,                 2.7268,              0.0083699,              0.0083699,              0.0083699
                    535,                 1.9123,                 2.5991,                 2.5608,                0.09853,                0.25325,                0.09389,                0.04616,                 2.3233,                 3.6104,                 2.7268,              0.0083641,              0.0083641,              0.0083641
                    536,                 1.6791,                 2.3295,                 2.3476,                0.09802,                0.20779,                0.12405,                0.05675,                 2.2558,                 3.4405,                 2.6551,              0.0083583,              0.0083583,              0.0083583
                    537,                 1.7677,                 2.3679,                 2.4669,                0.09802,                0.20779,                0.12405,                0.05675,                 2.2558,                 3.4405,                 2.6551,              0.0083526,              0.0083526,              0.0083526
                    538,                 1.8288,                 2.3679,                 2.4075,                0.09802,                0.20779,                0.12405,                0.05675,                 2.2558,                 3.4405,                 2.6551,              0.0083468,              0.0083468,              0.0083468
                    539,                 2.1707,                 2.6073,                 2.8295,                0.09802,                0.20779,                0.12405,                0.05675,                 2.2558,                 3.4405,                 2.6551,               0.008341,               0.008341,               0.008341
                    540,                 1.9359,                 2.4072,                 2.5322,                0.11888,                0.16234,                0.10309,                0.04775,                 2.2962,                 3.4372,                 2.9239,              0.0083351,              0.0083351,              0.0083351
                    541,                 2.1675,                 2.7584,                 2.8328,                0.11888,                0.16234,                0.10309,                0.04775,                 2.2962,                 3.4372,                 2.9239,              0.0083293,              0.0083293,              0.0083293
                    542,                 2.1253,                  2.321,                 2.5097,                0.11888,                0.16234,                0.10309,                0.04775,                 2.2962,                 3.4372,                 2.9239,              0.0083235,              0.0083235,              0.0083235
                    543,                 1.9749,                 2.1897,                 2.4157,                0.11888,                0.16234,                0.10309,                0.04775,                 2.2962,                 3.4372,                 2.9239,              0.0083177,              0.0083177,              0.0083177
                    544,                 2.1162,                 2.1988,                 2.5981,                0.05736,                0.06569,                0.06555,                0.02649,                 2.2771,                 3.3568,                 2.9204,              0.0083118,              0.0083118,              0.0083118
                    545,                 2.1331,                  2.882,                 2.7275,                0.05736,                0.06569,                0.06555,                0.02649,                 2.2771,                 3.3568,                 2.9204,               0.008306,               0.008306,               0.008306
                    546,                 2.1477,                 2.5823,                 2.7456,                0.05736,                0.06569,                0.06555,                0.02649,                 2.2771,                 3.3568,                 2.9204,              0.0083001,              0.0083001,              0.0083001
                    547,                 1.9722,                 2.2827,                 2.5357,                0.05736,                0.06569,                0.06555,                0.02649,                 2.2771,                 3.3568,                 2.9204,              0.0082942,              0.0082942,              0.0082942
                    548,                 2.3584,                 2.6448,                 2.8315,                0.05796,                0.09091,                0.07762,                0.03061,                 2.1476,                 3.2597,                 2.7923,              0.0082884,              0.0082884,              0.0082884
                    549,                 2.1622,                 2.5952,                  2.634,                0.05796,                0.09091,                0.07762,                0.03061,                 2.1476,                 3.2597,                 2.7923,              0.0082825,              0.0082825,              0.0082825
                    550,                 2.0389,                 2.2353,                 2.6442,                0.05796,                0.09091,                0.07762,                0.03061,                 2.1476,                 3.2597,                 2.7923,              0.0082766,              0.0082766,              0.0082766
                    551,                 1.8091,                 2.4298,                 2.5283,                0.05796,                0.09091,                0.07762,                0.03061,                 2.1476,                 3.2597,                 2.7923,              0.0082707,              0.0082707,              0.0082707
                    552,                 2.0135,                 2.3016,                 2.6096,                0.08492,                0.30519,                0.11384,                0.04449,                 2.0486,                   3.99,                 2.6814,              0.0082648,              0.0082648,              0.0082648
                    553,                 2.1562,                 2.4575,                 2.6631,                0.08492,                0.30519,                0.11384,                0.04449,                 2.0486,                   3.99,                 2.6814,              0.0082589,              0.0082589,              0.0082589
                    554,                 1.8088,                 2.7084,                 2.5967,                0.08492,                0.30519,                0.11384,                0.04449,                 2.0486,                   3.99,                 2.6814,              0.0082529,              0.0082529,              0.0082529
                    555,                 2.0164,                 2.3651,                  2.575,                0.08492,                0.30519,                0.11384,                0.04449,                 2.0486,                   3.99,                 2.6814,               0.008247,               0.008247,               0.008247
                    556,                  1.995,                 2.2102,                 2.5758,                0.11541,                0.32468,                0.14884,                0.04823,                 2.0093,                 2.9986,                 2.6436,              0.0082411,              0.0082411,              0.0082411
                    557,                 2.2861,                    2.7,                 2.7306,                0.11541,                0.32468,                0.14884,                0.04823,                 2.0093,                 2.9986,                 2.6436,              0.0082351,              0.0082351,              0.0082351
                    558,                 1.8218,                 2.3268,                 2.4086,                0.11541,                0.32468,                0.14884,                0.04823,                 2.0093,                 2.9986,                 2.6436,              0.0082292,              0.0082292,              0.0082292
                    559,                 1.8889,                 2.2548,                 2.5485,                0.11541,                0.32468,                0.14884,                0.04823,                 2.0093,                 2.9986,                 2.6436,              0.0082232,              0.0082232,              0.0082232
                    560,                  2.003,                 2.8056,                 2.6493,                0.21642,                0.37013,                0.15413,                0.06277,                 1.8873,                 2.9941,                 2.5258,              0.0082172,              0.0082172,              0.0082172
                    561,                  1.867,                  2.428,                 2.5989,                0.21642,                0.37013,                0.15413,                0.06277,                 1.8873,                 2.9941,                 2.5258,              0.0082112,              0.0082112,              0.0082112
                    562,                 2.3339,                 2.5949,                 2.7914,                0.21642,                0.37013,                0.15413,                0.06277,                 1.8873,                 2.9941,                 2.5258,              0.0082052,              0.0082052,              0.0082052
                    563,                 2.2077,                 3.1198,                 2.8093,                0.21642,                0.37013,                0.15413,                0.06277,                 1.8873,                 2.9941,                 2.5258,              0.0081993,              0.0081993,              0.0081993
                    564,                 2.0218,                 2.3433,                 2.5931,                0.22399,                0.32468,                0.14999,                0.06457,                  1.839,                 3.0372,                 2.4809,              0.0081933,              0.0081933,              0.0081933
                    565,                 2.3047,                 2.6435,                 2.8261,                0.22399,                0.32468,                0.14999,                0.06457,                  1.839,                 3.0372,                 2.4809,              0.0081872,              0.0081872,              0.0081872
                    566,                 1.9881,                 2.4581,                 2.6824,                0.22399,                0.32468,                0.14999,                0.06457,                  1.839,                 3.0372,                 2.4809,              0.0081812,              0.0081812,              0.0081812
                    567,                  1.961,                 2.5713,                 2.5842,                0.22399,                0.32468,                0.14999,                0.06457,                  1.839,                 3.0372,                 2.4809,              0.0081752,              0.0081752,              0.0081752
                    568,                 2.0436,                 2.3182,                 2.5645,                0.10716,                0.46104,                0.11442,                0.05629,                 1.8443,                 3.0598,                 2.4852,              0.0081692,              0.0081692,              0.0081692
                    569,                 2.0289,                 2.6103,                 2.6888,                0.10716,                0.46104,                0.11442,                0.05629,                 1.8443,                 3.0598,                 2.4852,              0.0081631,              0.0081631,              0.0081631
                    570,                 2.0278,                   2.36,                 2.6143,                0.10716,                0.46104,                0.11442,                0.05629,                 1.8443,                 3.0598,                 2.4852,              0.0081571,              0.0081571,              0.0081571
                    571,                 2.0465,                 2.3414,                 2.6835,                0.10716,                0.46104,                0.11442,                0.05629,                 1.8443,                 3.0598,                 2.4852,               0.008151,               0.008151,               0.008151
                    572,                 2.0097,                 2.2225,                 2.5205,                 0.1217,                0.32468,                0.10168,                0.06145,                 1.7329,                 3.5135,                 2.4412,               0.008145,               0.008145,               0.008145
                    573,                  2.024,                 2.4856,                 2.7085,                 0.1217,                0.32468,                0.10168,                0.06145,                 1.7329,                 3.5135,                 2.4412,              0.0081389,              0.0081389,              0.0081389
                    574,                 2.1231,                 2.4956,                 2.6089,                 0.1217,                0.32468,                0.10168,                0.06145,                 1.7329,                 3.5135,                 2.4412,              0.0081328,              0.0081328,              0.0081328
                    575,                  2.201,                  2.556,                 2.6279,                 0.1217,                0.32468,                0.10168,                0.06145,                 1.7329,                 3.5135,                 2.4412,              0.0081267,              0.0081267,              0.0081267
                    576,                 2.1304,                 2.5067,                 2.5936,                0.14485,                0.27922,                0.13091,                0.08377,                 1.6922,                 3.3336,                 2.3958,              0.0081206,              0.0081206,              0.0081206
                    577,                 2.0173,                 2.4873,                 2.6252,                0.14485,                0.27922,                0.13091,                0.08377,                 1.6922,                 3.3336,                 2.3958,              0.0081145,              0.0081145,              0.0081145
                    578,                 1.8591,                 2.2866,                 2.6234,                0.14485,                0.27922,                0.13091,                0.08377,                 1.6922,                 3.3336,                 2.3958,              0.0081084,              0.0081084,              0.0081084
                    579,                 2.2502,                 2.4231,                 2.7296,                0.14485,                0.27922,                0.13091,                0.08377,                 1.6922,                 3.3336,                 2.3958,              0.0081023,              0.0081023,              0.0081023
                    580,                  2.045,                 2.3762,                 2.4991,                0.17063,                0.23377,                0.14566,                0.10266,                 1.7585,                 3.2546,                 2.4119,              0.0080962,              0.0080962,              0.0080962
                    581,                 2.0604,                 2.6196,                 2.6931,                0.17063,                0.23377,                0.14566,                0.10266,                 1.7585,                 3.2546,                 2.4119,                0.00809,                0.00809,                0.00809
                    582,                 1.9499,                 2.3991,                 2.4732,                0.17063,                0.23377,                0.14566,                0.10266,                 1.7585,                 3.2546,                 2.4119,              0.0080839,              0.0080839,              0.0080839
                    583,                 1.9374,                 2.2807,                 2.5952,                0.17063,                0.23377,                0.14566,                0.10266,                 1.7585,                 3.2546,                 2.4119,              0.0080777,              0.0080777,              0.0080777
                    584,                 1.8536,                 2.1819,                 2.4805,                0.24871,                0.18831,                0.17353,                0.12047,                 1.7859,                 2.9883,                 2.4211,              0.0080716,              0.0080716,              0.0080716
                    585,                 1.8406,                 2.4624,                 2.5349,                0.24871,                0.18831,                0.17353,                0.12047,                 1.7859,                 2.9883,                 2.4211,              0.0080654,              0.0080654,              0.0080654
                    586,                 2.0268,                 2.5215,                 2.6162,                0.24871,                0.18831,                0.17353,                0.12047,                 1.7859,                 2.9883,                 2.4211,              0.0080593,              0.0080593,              0.0080593
                    587,                 2.0534,                  2.338,                 2.6535,                0.24871,                0.18831,                0.17353,                0.12047,                 1.7859,                 2.9883,                 2.4211,              0.0080531,              0.0080531,              0.0080531
                    588,                 1.9054,                  2.374,                  2.496,                0.95216,                0.14286,                0.21624,                0.14192,                 1.8228,                 2.8898,                 2.4778,              0.0080469,              0.0080469,              0.0080469
                    589,                 1.8949,                  2.108,                 2.4777,                0.95216,                0.14286,                0.21624,                0.14192,                 1.8228,                 2.8898,                 2.4778,              0.0080407,              0.0080407,              0.0080407
                    590,                 1.9996,                  2.476,                 2.6596,                0.95216,                0.14286,                0.21624,                0.14192,                 1.8228,                 2.8898,                 2.4778,              0.0080345,              0.0080345,              0.0080345
                    591,                 2.2399,                 2.4408,                  2.745,                0.95216,                0.14286,                0.21624,                0.14192,                 1.8228,                 2.8898,                 2.4778,              0.0080283,              0.0080283,              0.0080283
                    592,                 1.8377,                 2.0295,                 2.5164,                0.45186,                0.14286,                0.22901,                0.13592,                 1.9328,                 2.8815,                 2.5332,              0.0080221,              0.0080221,              0.0080221
                    593,                  2.242,                 2.3907,                 2.6777,                0.45186,                0.14286,                0.22901,                0.13592,                 1.9328,                 2.8815,                 2.5332,              0.0080159,              0.0080159,              0.0080159
                    594,                 1.9042,                 2.6254,                 2.5268,                0.45186,                0.14286,                0.22901,                0.13592,                 1.9328,                 2.8815,                 2.5332,              0.0080096,              0.0080096,              0.0080096
                    595,                 2.0531,                 2.5039,                 2.6227,                0.45186,                0.14286,                0.22901,                0.13592,                 1.9328,                 2.8815,                 2.5332,              0.0080034,              0.0080034,              0.0080034
                    596,                 1.9073,                 2.3915,                 2.5432,                0.44112,                0.23377,                0.26713,                0.15872,                 1.8783,                 2.8821,                 2.5078,              0.0079972,              0.0079972,              0.0079972
                    597,                 1.9329,                 2.4015,                 2.5577,                0.44112,                0.23377,                0.26713,                0.15872,                 1.8783,                 2.8821,                 2.5078,              0.0079909,              0.0079909,              0.0079909
                    598,                 2.0383,                 2.2847,                 2.5796,                0.44112,                0.23377,                0.26713,                0.15872,                 1.8783,                 2.8821,                 2.5078,              0.0079846,              0.0079846,              0.0079846
                    599,                 1.9706,                 2.2702,                  2.525,                0.44112,                0.23377,                0.26713,                0.15872,                 1.8783,                 2.8821,                 2.5078,              0.0079784,              0.0079784,              0.0079784
                    600,                 1.9954,                 2.3336,                 2.5931,                0.27336,                0.35065,                0.30781,                0.19947,                  1.818,                 2.4815,                 2.4267,              0.0079721,              0.0079721,              0.0079721
                    601,                 1.9505,                 2.1748,                 2.4988,                0.27336,                0.35065,                0.30781,                0.19947,                  1.818,                 2.4815,                 2.4267,              0.0079658,              0.0079658,              0.0079658
                    602,                 1.9066,                 2.1125,                 2.3882,                0.27336,                0.35065,                0.30781,                0.19947,                  1.818,                 2.4815,                 2.4267,              0.0079595,              0.0079595,              0.0079595
                    603,                 2.3275,                 2.5449,                 2.6149,                0.27336,                0.35065,                0.30781,                0.19947,                  1.818,                 2.4815,                 2.4267,              0.0079532,              0.0079532,              0.0079532
                    604,                  1.798,                 2.1698,                 2.4248,                0.11371,                0.53157,                0.07121,                0.02684,                 2.1684,                 3.6724,                 2.6953,              0.0079469,              0.0079469,              0.0079469
                    605,                 1.9733,                 2.5823,                 2.7046,                0.11371,                0.53157,                0.07121,                0.02684,                 2.1684,                 3.6724,                 2.6953,              0.0079406,              0.0079406,              0.0079406
                    606,                 1.9438,                   1.97,                 2.4189,                0.11371,                0.53157,                0.07121,                0.02684,                 2.1684,                 3.6724,                 2.6953,              0.0079343,              0.0079343,              0.0079343
                    607,                 1.9055,                 2.0996,                 2.4669,                0.11371,                0.53157,                0.07121,                0.02684,                 2.1684,                 3.6724,                 2.6953,               0.007928,               0.007928,               0.007928
                    608,                 2.0299,                 2.4992,                  2.768,                0.51142,                0.28571,                0.06242,                0.02232,                 2.3708,                 5.4752,                 2.8908,              0.0079217,              0.0079217,              0.0079217
                    609,                 1.7202,                  1.986,                  2.405,                0.51142,                0.28571,                0.06242,                0.02232,                 2.3708,                 5.4752,                 2.8908,              0.0079153,              0.0079153,              0.0079153
                    610,                 1.8858,                 2.2897,                 2.6354,                0.51142,                0.28571,                0.06242,                0.02232,                 2.3708,                 5.4752,                 2.8908,               0.007909,               0.007909,               0.007909
                    611,                 2.0257,                 2.4724,                 2.4792,                0.51142,                0.28571,                0.06242,                0.02232,                 2.3708,                 5.4752,                 2.8908,              0.0079026,              0.0079026,              0.0079026
                    612,                 1.7809,                 2.2404,                 2.4113,                0.04743,                0.42144,                0.06915,                0.02391,                 2.2189,                 7.5234,                 2.8149,              0.0078963,              0.0078963,              0.0078963
                    613,                 1.9454,                 2.3006,                 2.4951,                0.04743,                0.42144,                0.06915,                0.02391,                 2.2189,                 7.5234,                 2.8149,              0.0078899,              0.0078899,              0.0078899
                    614,                 1.9633,                 2.1435,                 2.4748,                0.04743,                0.42144,                0.06915,                0.02391,                 2.2189,                 7.5234,                 2.8149,              0.0078835,              0.0078835,              0.0078835
                    615,                 1.8166,                 2.1204,                 2.3651,                0.04743,                0.42144,                0.06915,                0.02391,                 2.2189,                 7.5234,                 2.8149,              0.0078772,              0.0078772,              0.0078772
                    616,                 1.9538,                 2.2566,                  2.483,                0.50879,                0.35714,                0.05747,                0.02204,                 2.0771,                  6.179,                 2.6969,              0.0078708,              0.0078708,              0.0078708
                    617,                 1.7934,                  2.354,                 2.4656,                0.50879,                0.35714,                0.05747,                0.02204,                 2.0771,                  6.179,                 2.6969,              0.0078644,              0.0078644,              0.0078644
                    618,                 1.8908,                 2.1616,                 2.5263,                0.50879,                0.35714,                0.05747,                0.02204,                 2.0771,                  6.179,                 2.6969,               0.007858,               0.007858,               0.007858
                    619,                 1.8687,                 2.1213,                 2.4131,                0.50879,                0.35714,                0.05747,                0.02204,                 2.0771,                  6.179,                 2.6969,              0.0078516,              0.0078516,              0.0078516
                    620,                 2.1928,                 2.5066,                  2.689,                0.24216,                0.37662,                0.13188,                0.05839,                 2.0102,                 4.3217,                 2.6857,              0.0078452,              0.0078452,              0.0078452
                    621,                 1.9932,                  2.275,                 2.5886,                0.24216,                0.37662,                0.13188,                0.05839,                 2.0102,                 4.3217,                 2.6857,              0.0078387,              0.0078387,              0.0078387
                    622,                 2.1677,                 2.4659,                 2.6951,                0.24216,                0.37662,                0.13188,                0.05839,                 2.0102,                 4.3217,                 2.6857,              0.0078323,              0.0078323,              0.0078323
                    623,                 2.1189,                 2.5817,                 2.6101,                0.24216,                0.37662,                0.13188,                0.05839,                 2.0102,                 4.3217,                 2.6857,              0.0078259,              0.0078259,              0.0078259
                    624,                 1.8415,                 2.2159,                 2.3222,                0.21237,                0.09091,                 0.0806,                0.03377,                 1.8562,                 3.9867,                 2.5542,              0.0078194,              0.0078194,              0.0078194
                    625,                  1.917,                 2.2689,                 2.4478,                0.21237,                0.09091,                 0.0806,                0.03377,                 1.8562,                 3.9867,                 2.5542,               0.007813,               0.007813,               0.007813
                    626,                 2.0119,                 2.0602,                 2.5692,                0.21237,                0.09091,                 0.0806,                0.03377,                 1.8562,                 3.9867,                 2.5542,              0.0078065,              0.0078065,              0.0078065
                    627,                 2.0803,                 2.3461,                 2.5473,                0.21237,                0.09091,                 0.0806,                0.03377,                 1.8562,                 3.9867,                 2.5542,              0.0078001,              0.0078001,              0.0078001
                    628,                 1.9294,                 2.2395,                  2.499,                0.38174,                0.30519,                0.36642,                0.21246,                 1.7497,                 2.6603,                 2.4666,              0.0077936,              0.0077936,              0.0077936
                    629,                  2.064,                 2.5473,                 2.5848,                0.38174,                0.30519,                0.36642,                0.21246,                 1.7497,                 2.6603,                 2.4666,              0.0077871,              0.0077871,              0.0077871
                    630,                 1.9694,                 2.0718,                 2.4779,                0.38174,                0.30519,                0.36642,                0.21246,                 1.7497,                 2.6603,                 2.4666,              0.0077806,              0.0077806,              0.0077806
                    631,                 1.9152,                 2.3721,                 2.5229,                0.38174,                0.30519,                0.36642,                0.21246,                 1.7497,                 2.6603,                 2.4666,              0.0077742,              0.0077742,              0.0077742
                    632,                 1.8372,                 2.1086,                 2.3239,                0.22858,                0.25974,                0.15315,                0.07258,                 1.7897,                 3.4166,                 2.5022,              0.0077677,              0.0077677,              0.0077677
                    633,                 1.9681,                 2.3854,                 2.5609,                0.22858,                0.25974,                0.15315,                0.07258,                 1.7897,                 3.4166,                 2.5022,              0.0077612,              0.0077612,              0.0077612
                    634,                 1.9884,                 2.3603,                 2.5322,                0.22858,                0.25974,                0.15315,                0.07258,                 1.7897,                 3.4166,                 2.5022,              0.0077547,              0.0077547,              0.0077547
                    635,                 1.9811,                 2.1631,                 2.5442,                0.22858,                0.25974,                0.15315,                0.07258,                 1.7897,                 3.4166,                 2.5022,              0.0077481,              0.0077481,              0.0077481
                    636,                 1.9056,                 1.9666,                 2.4384,                0.14025,                0.49045,                0.12368,                0.03464,                 1.9452,                 4.8948,                 2.6737,              0.0077416,              0.0077416,              0.0077416
                    637,                 1.9567,                 2.2544,                 2.5237,                0.14025,                0.49045,                0.12368,                0.03464,                 1.9452,                 4.8948,                 2.6737,              0.0077351,              0.0077351,              0.0077351
